,id,0,1,2,3,4,5,6,7,8,9,10
91,ՀԿ_09,,ԱՐՏԱԿ ԹԱԴԵՎՈՍՅԱՆ ՎԱՀՐԱՄԻ,Այգետնակը (ամառանոցը)` այգեգործական զանգվածում հողամասի վրա կառուցված ամառանոցային շինությունը,միանձնյա սեփականություն,-,Հայաստանի Հանրապետություն ԱՐՄԱՎԻՐ ՎԱՆԱՆԴ,Պաշտպանված,Պաշտպանված Պաշտպանված,2018-01-17,Գնում,Այո
92,ՀԿ_09,,ԱՐՏԱԿ ԹԱԴԵՎՈՍՅԱՆ ՎԱՀՐԱՄԻ,Հողամաս,միանձնյա սեփականություն,-,Հայաստանի Հանրապետություն ԱՐՄԱՎԻՐ ՎԱՆԱՆԴ,Պաշտպանված,Պաշտպանված Պաշտպանված,2020-09-16,Գնում,Այո
93,ՀԿ_09,,ԱՐՏԱԿ ԹԱԴԵՎՈՍՅԱՆ ՎԱՀՐԱՄԻ,Հողամաս,միանձնյա սեփականություն,-,Հայաստանի Հանրապետություն ԱՐՄԱՎԻՐ ՎԱՆԱՆԴ,Պաշտպանված,Պաշտպանված Պաշտպանված,2020-08-19,Գնում,Այո
94,ՀԿ_07,,ԱՐՍԵՆ ԳԵՂԱՄՅԱՆ ԳՐԻԳՈՐԻ,"Անհատական բնակելի տունը` հողամասի վրա կառուցված, իր տնտեսական շինություններով",համատեղ սեփականություն,-,Հայաստանի Հանրապետություն ԱՐԱՐԱՏ ՋՐԱՀՈՎԻՏ,Պաշտպանված,Պաշտպանված Պաշտպանված,2000-09-10,Այլ,Այո
95,ՀԿ_07,,ԱՐՍԵՆ ԳԵՂԱՄՅԱՆ ԳՐԻԳՈՐԻ,Հողին ամրակայված այլ անշարժ գույք,համատեղ սեփականություն,-,Հայաստանի Հանրապետություն ԱՐԱՐԱՏ ՋՐԱՀՈՎԻՏ,Պաշտպանված,Պաշտպանված Պաշտպանված,2000-09-10,Այլ,Այո
96,ՀԿ_07,,ԱՐՍԵՆ ԳԵՂԱՄՅԱՆ ԳՐԻԳՈՐԻ,Հողին ամրակայված այլ անշարժ գույք,համատեղ սեփականություն,-,Հայաստանի Հանրապետություն ԱՐԱՐԱՏ ՋՐԱՀՈՎԻՏ,Պաշտպանված,Պաշտպանված Պաշտպանված,2000-09-10,Այլ,Այո
97,ՀԿ_07,,ԱՐՍԵՆ ԳԵՂԱՄՅԱՆ ԳՐԻԳՈՐԻ,Հողին ամրակայված այլ անշարժ գույք,համատեղ սեփականություն,-,Հայաստանի Հանրապետություն ԱՐԱՐԱՏ ՋՐԱՀՈՎԻՏ,Պաշտպանված,Պաշտպանված Պաշտպանված,2000-09-10,Այլ,Այո
98,ՀԿ_07,,ԱՐՍԵՆ ԳԵՂԱՄՅԱՆ ԳՐԻԳՈՐԻ,Հողամաս,համատեղ սեփականություն,-,Հայաստանի Հանրապետություն ԱՐԱՐԱՏ ՋՐԱՀՈՎԻՏ,Պաշտպանված,Պաշտպանված Պաշտպանված,2000-09-10,Այլ,Այո
99,ՀԿ_07,,ԱՐՍԵՆ ԳԵՂԱՄՅԱՆ ԳՐԻԳՈՐԻ,Բազմամյա տնկի,համատեղ սեփականություն,-,Հայաստանի Հանրապետություն ԱՐԱՐԱՏ ՋՐԱՀՈՎԻՏ,Պաշտպանված,Պաշտպանված Պաշտպանված,2000-09-10,Այլ,Այո
100,ՀԿ_06,,ԱՐՄԱՆ ՄԱՆՈՒՉԱՐՅԱՆ ԱՊԵՏՆԱԿԻ,Հողամաս,համատեղ սեփականություն,-,Հայաստանի Հանրապետություն ՍՅՈՒՆԻՔ ՏԵՂ,Պաշտպանված,Պաշտպանված Պաշտպանված,2003-04-07,Այլ,Այո
