,,link,position,decl_title,decl_link
ՀԿ_03,3,http://cpcarmenia.am//hy/declarations-registry/user_id=3492/,ՀՀ Հատուկ քննչական ծառայության ընդհանուր բնույթի հանցագործությունների քննության վարչության պետ,Պաշտոնատար անձի տարեկան հայտարարագիր-- (2019),http://cpcarmenia.am/hy/declarations-registry/id=54998/
ՀԿ_03,4,http://cpcarmenia.am//hy/declarations-registry/user_id=3492/,ՀՀ ՀԱԿԱԿՈՌՈՒՊՑԻՈՆ ԿՈՄԻՏԵԻ ՔՆՆՉԱԿԱՆ ԵՐԿՐՈՐԴ ՎԱՐՉՈՒԹՅԱՆ ՊԵՏ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=94444/
ՀԿ_03,5,http://cpcarmenia.am//hy/declarations-registry/user_id=3492/,ՀՀ Հատուկ քննչական ծառայության ընդհանուր բնույթի հանցագործությունների քննության վարչության պետ,Պաշտոնատար անձի տարեկան հայտարարագիր-- (2020),http://cpcarmenia.am/hy/declarations-registry/id=101923/
ՀԿ_04,0,http://cpcarmenia.am//hy/declarations-registry/user_id=3491/,ՀՀ հատուկ քննչական ծառայության պետին առընթեր հատկապես կարևոր գործերի ավագ քննիչ,Պաշտոնատար անձի պաշտոնը ստանձնելու հայտարարագիր  (2017),http://cpcarmenia.am/hy/declarations-registry/id=15665/
ՀԿ_04,1,http://cpcarmenia.am//hy/declarations-registry/user_id=3491/,ՀՀ հատուկ քննչական ծառայության պետին առընթեր հատկապես կարևոր գործերի ավագ քննիչ,Պաշտոնատար անձի տարեկան հայտարարագիր (2017),http://cpcarmenia.am/hy/declarations-registry/id=21548/
ՀԿ_04,2,http://cpcarmenia.am//hy/declarations-registry/user_id=3491/,ՀՀ հատուկ քննչական ծառայության պետին առընթեր հատկապես կարևոր գործերի ավագ քննիչ,Պաշտոնատար անձի տարեկան հայտարարագիր (2018),http://cpcarmenia.am/hy/declarations-registry/id=40410/
ՀԿ_04,3,http://cpcarmenia.am//hy/declarations-registry/user_id=3491/,ՀՀ հատուկ քննչական ծառայության պետին առընթեր հատկապես կարևոր գործերի ավագ քննիչ,Պաշտոնատար անձի տարեկան հայտարարագիր-- (2019),http://cpcarmenia.am/hy/declarations-registry/id=52741/
ՀԿ_04,4,http://cpcarmenia.am//hy/declarations-registry/user_id=3491/,ՀՀ հատուկ քննչական ծառայության պետին առընթեր հատկապես կարևոր գործերի ավագ քննիչ,Պաշտոնատար անձի տարեկան հայտարարագիր-- (2020),http://cpcarmenia.am/hy/declarations-registry/id=70450/
ՀԿ_04,5,http://cpcarmenia.am//hy/declarations-registry/user_id=3491/,ՀՀ ՀԱԿԱԿՈՌՈՒՊՑԻՈՆ ԿՈՄԻՏԵԻ ՆԵՐՔԻՆ ԱՆՎՏԱՆԳՈՒԹՅԱՆ ՎԱՐՉՈՒԹՅԱՆ ՀԱՏԿԱՊԵՍ ԿԱՐԵՎՈՐ ԳՈՐԾԵՐՈՎ ԱՎԱԳ ՔՆՆԻՉ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=91999/
ՀԿ_05,0,http://cpcarmenia.am//hy/declarations-registry/user_id=5039/,ՀՀ  քննչական կոմիտեի  զինվորական քննչական գլխավոր վարչության հատկապես կարևոր գործերի քննության վարչության ՀԿԳ  քննիչ,Պաշտոնատար անձի պաշտոնը ստանձնելու հայտարարագիր  (2017),http://cpcarmenia.am/hy/declarations-registry/id=15060/
