,id,0,1,2,3
110,ՀԿ_20,,Պաշտպանված,Պաշտպանված,Պաշտպանված
111,ՀԿ_20,,Պաշտպանված,Պաշտպանված,Պաշտպանված
112,ՀԿ_19,,Պաշտպանված,Պաշտպանված,Պաշտպանված
113,ՀԿ_19,,Պաշտպանված,Պաշտպանված,Պաշտպանված
114,ՀԿ_19,,Պաշտպանված,Պաշտպանված,Պաշտպանված
115,ՀԿ_19,,Պաշտպանված,Պաշտպանված,Պաշտպանված
116,ՀԿ_19,,Պաշտպանված,Պաշտպանված,Պաշտպանված
117,ՀԿ_18,,Պաշտպանված,Պաշտպանված,Պաշտպանված
118,ՀԿ_18,,Պաշտպանված,Պաշտպանված,Պաշտպանված
119,ՀԿ_18,,Պաշտպանված,Պաշտպանված,Պաշտպանված
120,ՀԿ_18,,Պաշտպանված,Պաշտպանված,Պաշտպանված
121,ՀԿ_18,,Պաշտպանված,Պաշտպանված,Պաշտպանված
122,ՀԿ_18,,Պաշտպանված,Պաշտպանված,Պաշտպանված
123,ՀԿ_18,,Պաշտպանված,Պաշտպանված,Պաշտպանված
124,ՀԿ_18,,Պաշտպանված,Պաշտպանված,Պաշտպանված
125,ՀԿ_17,,Պաշտպանված,Պաշտպանված,Պաշտպանված
126,ՀԿ_17,,Պաշտպանված,Պաշտպանված,Պաշտպանված
127,ՀԿ_17,,Պաշտպանված,Պաշտպանված,Պաշտպանված
128,ՀԿ_17,,Պաշտպանված,Պաշտպանված,Պաշտպանված
129,ՀԿ_17,,Պաշտպանված,Պաշտպանված,Պաշտպանված
130,ՀԿ_17,,Պաշտպանված,Պաշտպանված,Պաշտպանված
131,ՀԿ_17,,Պաշտպանված,Պաշտպանված,Պաշտպանված
132,ՀԿ_17,,Պաշտպանված,Պաշտպանված,Պաշտպանված
133,ՀԿ_16,,Պաշտպանված,Պաշտպանված,Պաշտպանված
134,ՀԿ_16,,Պաշտպանված,Պաշտպանված,Պաշտպանված
135,ՀԿ_16,,Պաշտպանված,Պաշտպանված,Պաշտպանված
136,ՀԿ_16,,Պաշտպանված,Պաշտպանված,Պաշտպանված
137,ՀԿ_15,,Պաշտպանված,Պաշտպանված,Պաշտպանված
138,ՀԿ_15,,Պաշտպանված,Պաշտպանված,Պաշտպանված
139,ՀԿ_15,,Պաշտպանված,Պաշտպանված,Պաշտպանված
140,ՀԿ_15,,Պաշտպանված,Պաշտպանված,Պաշտպանված
141,ՀԿ_15,,Պաշտպանված,Պաշտպանված,Պաշտպանված
142,ՀԿ_15,,Պաշտպանված,Պաշտպանված,Պաշտպանված
143,ՀԿ_15,,Պաշտպանված,Պաշտպանված,Պաշտպանված
144,ՀԿ_12,,Պաշտպանված,Պաշտպանված,Պաշտպանված
145,ՀԿ_12,,Պաշտպանված,Պաշտպանված,Պաշտպանված
146,ՀԿ_12,,Պաշտպանված,Պաշտպանված,Պաշտպանված
147,ՀԿ_12,,Պաշտպանված,Պաշտպանված,Պաշտպանված
148,ՀԿ_11,,Պաշտպանված,Պաշտպանված,Պաշտպանված
149,ՀԿ_11,,Պաշտպանված,Պաշտպանված,Պաշտպանված
150,ՀԿ_11,,Պաշտպանված,Պաշտպանված,Պաշտպանված
151,ՀԿ_11,,Պաշտպանված,Պաշտպանված,Պաշտպանված
152,ՀԿ_11,,Պաշտպանված,Պաշտպանված,Պաշտպանված
153,ՀԿ_11,,Պաշտպանված,Պաշտպանված,Պաշտպանված
154,ՀԿ_11,,Պաշտպանված,Պաշտպանված,Պաշտպանված
155,ՀԿ_09,,Պաշտպանված,Պաշտպանված,Պաշտպանված
156,ՀԿ_09,,Պաշտպանված,Պաշտպանված,Պաշտպանված
157,ՀԿ_09,,Պաշտպանված,Պաշտպանված,Պաշտպանված
158,ՀԿ_07,,Պաշտպանված,Պաշտպանված,Պաշտպանված
159,ՀԿ_07,,Պաշտպանված,Պաշտպանված,Պաշտպանված
160,ՀԿ_07,,Պաշտպանված,Պաշտպանված,Պաշտպանված
161,ՀԿ_07,,Պաշտպանված,Պաշտպանված,Պաշտպանված
162,ՀԿ_07,,Պաշտպանված,Պաշտպանված,Պաշտպանված
163,ՀԿ_06,,Պաշտպանված,Պաշտպանված,Պաշտպանված
164,ՀԿ_06,,Պաշտպանված,Պաշտպանված,Պաշտպանված
165,ՀԿ_06,,Պաշտպանված,Պաշտպանված,Պաշտպանված
166,ՀԿ_06,,Պաշտպանված,Պաշտպանված,Պաշտպանված
167,ՀԿ_06,,Պաշտպանված,Պաշտպանված,Պաշտպանված
168,ՀԿ_06,,Պաշտպանված,Պաշտպանված,Պաշտպանված
169,ՀԿ_06,,Պաշտպանված,Պաշտպանված,Պաշտպանված
170,ՀԿ_05,,Պաշտպանված,Պաշտպանված,Պաշտպանված
171,ՀԿ_05,,Պաշտպանված,Պաշտպանված,Պաշտպանված
172,ՀԿ_05,,Պաշտպանված,Պաշտպանված,Պաշտպանված
173,ՀԿ_04,,Պաշտպանված,Պաշտպանված,Պաշտպանված
174,ՀԿ_04,,Պաշտպանված,Պաշտպանված,Պաշտպանված
175,ՀԿ_04,,Պաշտպանված,Պաշտպանված,Պաշտպանված
176,ՀԿ_04,,Պաշտպանված,Պաշտպանված,Պաշտպանված
177,ՀԿ_04,,Պաշտպանված,Պաշտպանված,Պաշտպանված
178,ՀԿ_03,,Պաշտպանված,Պաշտպանված,Պաշտպանված
179,ՀԿ_03,,Պաշտպանված,Պաշտպանված,Պաշտպանված
180,ՀԿ_03,,Պաշտպանված,Պաշտպանված,Պաշտպանված
181,ՀԿ_03,,Պաշտպանված,Պաշտպանված,Պաշտպանված
182,ՀԿ_03,,Պաշտպանված,Պաշտպանված,Պաշտպանված
183,ՀԿ_02,Տվյալներ չկան,,,
184,ՀԴԴ_13,,Պաշտպանված,Պաշտպանված,Պաշտպանված
185,ՀԴԴ_13,,Պաշտպանված,Պաշտպանված,Պաշտպանված
186,ՀԴԴ_13,,Պաշտպանված,Պաշտպանված,Պաշտպանված
187,ՀԴԴ_13,,Պաշտպանված,Պաշտպանված,Պաշտպանված
188,ՀԴԴ_13,,Պաշտպանված,Պաշտպանված,Պաշտպանված
189,ՀԴԴ_13,,Պաշտպանված,Պաշտպանված,Պաշտպանված
190,ՀԴԴ_12,,Պաշտպանված,Պաշտպանված,Պաշտպանված
191,ՀԴԴ_12,,Պաշտպանված,Պաշտպանված,Պաշտպանված
192,ՀԴԴ_12,,Պաշտպանված,Պաշտպանված,Պաշտպանված
193,ՀԴԴ_12,,Պաշտպանված,Պաշտպանված,Պաշտպանված
194,ՀԴԴ_12,,Պաշտպանված,Պաշտպանված,Պաշտպանված
195,ՀԴԴ_12,,Պաշտպանված,Պաշտպանված,Պաշտպանված
